document_id,tfidf_score,tfidf_label,scibert_score,scibert_label,score_delta
"ABREU, D.M",0.0000,low,1.0000,high,1.0000
"ABREU, E. S. de",0.0000,low,1.0000,high,1.0000
AFFSouza,,insufficient_sections,,insufficient_sections,
AMDavid,0.4040,high,0.9690,high,0.5650
ASCCMBarros-min,,insufficient_sections,,insufficient_sections,
BAbreu,,insufficient_sections,,insufficient_sections,
BCAbreu,0.4981,high,0.9745,high,0.4764
BMVRibeiro-min,0.0459,low,0.9362,high,0.8903
BSAbreu,0.0000,low,0.3778,high,0.3778
CAFAbreu,0.5597,high,0.9536,high,0.3939
CAbreu,0.5252,high,0.9784,high,0.4532
CRAAbreu,0.0000,low,0.3848,high,0.3848
DAbreu,0.1226,low,0.3838,high,0.2612
DPAbreu,0.5162,high,0.9754,high,0.4592
DSMAbreu,0.5955,high,0.9600,high,0.3645
EFAbreu,0.1191,low,0.9739,high,0.8548
EFSAbreu,0.6978,high,0.9757,high,0.2779
ENPinho,0.3280,medium,0.9688,high,0.6408
ESAbreu,,insufficient_sections,,insufficient_sections,
EVAbreu,0.0887,low,0.8034,high,0.7147
FAguiar,0.6945,high,0.9813,high,0.2868
FMRolim,0.5123,high,0.9659,high,0.4536
FSAbreu,,insufficient_sections,,insufficient_sections,
GAMoreira,0.5077,high,0.9653,high,0.4576
GDAmaral,0.6689,high,0.9836,high,0.3147
GGSouza,0.4525,high,0.9730,high,0.5205
GMGonçalves,0.7399,high,0.9451,high,0.2052
GMPereira,0.5554,high,0.9751,high,0.4197
HBCReis,0.4680,high,0.9791,high,0.5111
HBMHenriques,0.3190,medium,0.6121,high,0.2931
HGVRocha,0.4910,high,0.9405,high,0.4495
JPTentis,0.0000,low,0.8066,high,0.8066
LCMarques,0.0000,low,0.6965,high,0.6965
LFSuett,,insufficient_sections,,insufficient_sections,
LMFGaleno,0.6510,high,0.9818,high,0.3308
LYHarita,0.5485,high,0.9783,high,0.4298
"MATTA, J. C",0.3962,high,0.9760,high,0.5798
MBNDias-min,,insufficient_sections,,insufficient_sections,
MBSTavares,0.0064,low,0.5668,high,0.5604
MCosta,0.6324,high,0.9885,high,0.3561
MDFonseca,0.4065,high,0.9718,high,0.5653
NRVerly,,insufficient_sections,,insufficient_sections,
NSahlit,0.0000,low,0.3118,medium,0.3118
PSantos,0.4402,high,0.9757,high,0.5355
PVMNascimento,0.4224,high,0.9748,high,0.5524
RPNogueira,,insufficient_sections,,insufficient_sections,
TAGurgel,0.0612,low,0.6679,high,0.6067
monopoli10008376,0.3773,high,0.9522,high,0.5749
monopoli10015726,0.0000,low,0.1441,low,0.1441
monopoli10017560,,insufficient_sections,,insufficient_sections,
